generic_name,syn_name,dosage,drug_type,ed_category,ed_meaning,reimbursement_note,badge_color,drug_group_en,drug_subgroup_en,icd10_chapter,icd10_chapter_th,recommendation_note,condition_note,warning_note,remark,source_name,source_url,publisher
Ganciclovir sodium,,sterile pwdr,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,"1.ใช้สำหรับการติดเชื้อ cytomegalovirus (CMV)
2.ใช้กรณีพิเศษตามคำแนะนำของแพทย์ผู้เชี่ยวชาญด้านโรคติดเชื้อ",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Oseltamivir phosphate,,"cap, dry syr",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,ใช้สำหรับการดำเนินงานตามแผนยุทธศาสตร์ป้องกัน แก้ไข และเตรียมพร้อมรับปัญหาโรคไข้หวัดนก และการระบาดใหญ่ของโรคไข้หวัดใหญ่ของประเทศ,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Atazanavir sulfate,,cap,,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Didanosine,ddI,"tab, oral pwdr",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Efavirenz,,"cap, tab",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Indinavir sulfate,,cap,,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lamivudine,3TC,"tab (เฉพาะ 100, 150 mg), syr",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lamivudine + Stavudine + Nevirapine,,tab (เฉพาะ 150+30+200 mg),,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lopinavir + Ritonavir,,"tab, oral sol",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nelfinavir mesilate,,"tab, dry syr",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nevirapine,,"tab, susp",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ritonavir,,"cap, oral sol",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Saquinavir,,cap (as base or mesilate),,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Stavudine,d4T,"cap, dry syr",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Tenofovir disoproxil fumarate,,tab,,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zidovudine,AZT,"cap, oral sol",,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zidovudine + Lamivudine,AZT+3TC,tab (เฉพาะ 300+150 mg),,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zidovudine + Lamivudine + Nevirapine,,tab (เฉพาะ 250 + 150 +200 mg),,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Darunavir ethanolate,DRV,tab,,จ(2),ยาพิเศษ,ต้องขออนุมัติ + เงื่อนไขพิเศษ,🔴,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,ใช้เป็นยาแทน (alternative drug) ในกรณีที่ทนผลข้างเคียงของ Lopinavir + Ritonavir ไม่ได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดที่คณะอนุกรรมการด้านการพัฒนาและบริการผู้ติดเชื้อเอชไอวี/ผู้ป่วยเอดส์ ของสำนักงานหลักประกันสุขภาพแห่งชาติกำหนด,,"1. ราคายา Darunavir ethanolate (DRV) ขนาด 300 mg ที่ต่อรองได้ เม็ดละไม่เกิน 61.2575 บาท (ราคารวมภาษีมูลค่าเพิ่ม) 
2. ราคายา Darunavir ethanolate (DRV) ขนาด 600 mg ที่ต่อรองได้ เม็ดละไม่เกิน 122.515 บาท (ราคารวมภาษีมูลค่าเพิ่ม)
ราคายาลำดับที่ 1 และ 2 กำหนดยืนราคา 730 วัน  นับจากวันถัดจากวันประกาศในราชกิจจานุเบกษา เงื่อนไขและรายละเอียดอื่นๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ www.nlem.in.th",บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Lamivudine,3TC,"tab (เฉพาะ 100, 150 mg)",,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,"1.  ใช้สำหรับโรคไวรัสตับอักเสบบีเรื้อรัง (chronic hepatitis B) ที่มี HBeAg positive หรือ negative โดยต้องมีระดับ Alanine aminotransferase (ALT) สูงกว่าหรือเท่ากับ 1.5 เท่าของค่าปกติ และมี HBV DNA มากกว่า 10,000 copies/ml (หรือ 2,000 IU/ml) และ/หรือมีผล liver histology แสดงว่าเป็นโรคไวรัสตับอักเสบบีเรื้อรัง
 2.  ใช้สำหรับ compensated หรือ decompensated cirrhosis ที่ตรวจพบ HBV DNA
 3.  ใช้กับผู้ป่วย HBsAg positive ที่ได้รับยาเคมีบำบัดหรือยากดภูมิคุ้มกัน
 4.  ให้ตรวจ HIV serology negative 2 ครั้ง ห่างกัน 3 เดือน และเป็นระยะตลอดเวลาการรักษา ยกเว้นในกรณีที่มีความจำเป็นเร่งด่วนต้องรักษาผู้ป่วยที่ติดเชื้อไวรัสตับอักเสบบี ให้มีผล HIV serology negative ในครั้งแรก",,"ระดับ ALT ที่ผิดปกติต้องวินิจฉัยแยกโรคอื่นๆ ที่ทำให้ ALT สูงกว่าปกติ เช่น  fatty liver, drug-induced hepatitis, autoimmune hepatitis",บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Tenofovir disoproxil fumarate,,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,"1.  ใช้สำหรับโรคไวรัสตับอักเสบบีเรื้อรังเฉพาะกรณีดังต่อไปนี้
1.1  ใช้ในกรณี rescue ในผู้ป่วยที่ดื้อต่อยาในกลุ่ม nucleoside analog (NRTI) เช่น lamivudine โดยใช้ tenofovir เป็นการรักษาเสริมและไม่ให้ใช้เป็นยาเดี่ยว
1.2  ใช้ในกรณีที่ผู้ป่วยยังมี HBV DNA มากกว่า 1,000 copies/ml (หรือ 200 IU/ml) หลังรักษาด้วยยาในกลุ่ม nucleoside analog (NRTI) เช่น lamivudine เป็นเวลา 24 สัปดาห์
2.  ให้ตรวจ HIV serology negative 2 ครั้ง ห่างกัน 3 เดือน และเป็นระยะตลอดเวลาการรักษา ยกเว้นในกรณีที่มีความจำเป็นเร่งด่วนต้องรักษาผู้ป่วยที่ติดเชื้อไวรัสตับอักเสบบี ให้มีผล HIV serology negative ในครั้งแรก",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Peginterferon  alfa-2a,,sterile  sol,,จ(2),ยาพิเศษ,ต้องขออนุมัติ + เงื่อนไขพิเศษ,🔴,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,"ใช้รักษาโรคไวรัสตับอักเสบซีเรื้อรัง (genotype 2, 3) โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3",,"1. ราคายา Peginterferon  alfa-2a ขนาด 135 mcg (0.5 ml) ที่ต่อรองได้ syringe ละไม่เกิน 3,150.00 บาท (ราคารวมภาษีมูลค่าเพิ่ม) ซึ่งเป็นราคาที่รวมราคายา Ribavirin ไว้ด้วย กำหนดยืนราคา 730 วัน นับจากวันถัดจากวันประกาศในราชกิจจานุเบกษา เงื่อนไขและรายละเอียดอื่นๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ www.nlem.in.th
 2. ราคายา Peginterferon  alfa-2a ขนาด 180 mcg (0.5 ml) ที่ต่อรองได้ syringe ละไม่เกิน 3,150.00  บาท (ราคารวมภาษีมูลค่าเพิ่ม) ซึ่งเป็นราคาที่รวมราคายา Ribavirin ไว้ด้วย กำหนดยืนราคา 730 วัน นับจากวันถัดจากวันประกาศในราชกิจจานุเบกษา เงื่อนไขและรายละเอียดอื่นๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ www.nlem.in.th",บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Peginterferon  alfa-2b,,sterile pwdr,,จ(2),ยาพิเศษ,ต้องขออนุมัติ + เงื่อนไขพิเศษ,🔴,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,"ใช้รักษาโรคไวรัสตับอักเสบซีเรื้อรัง (genotype 2, 3) โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3",,"1. ราคายา Peginterferon  alfa-2b ขนาด 100 mcg ที่ต่อรองได้ ขวดละไม่เกิน 3,150.00 บาท (ราคารวมภาษีมูลค่าเพิ่ม) ซึ่งเป็นราคาที่รวมราคายา Ribavirin ไว้ด้วย กำหนดยืนราคา 730 วัน นับจากวันถัดจากวันประกาศในราชกิจจานุเบกษา เงื่อนไขและรายละเอียดอื่นๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ www.nlem.in.th
2. ราคายา Peginterferon  alfa-2b ขนาด 100 mcg ที่ต่อรองได้ redipen ละไม่เกิน 3,150.00  บาท (ราคารวมภาษีมูลค่าเพิ่ม) ซึ่งเป็นราคาที่รวมราคายา Ribavirin ไว้ด้วย กำหนดยืนราคา 730 วัน นับจากวันถัดจากวันประกาศในราชกิจจานุเบกษา เงื่อนไขและรายละเอียดอื่นๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ www.nlem.in.th",บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ribavirin,,cap/tab  (เฉพาะ 200 mg),,จ(2),ยาพิเศษ,ต้องขออนุมัติ + เงื่อนไขพิเศษ,🔴,Infections,Antiviral drugs,I,โรคติดเชื้อและปรสิต,,"ใช้ ribavirin ร่วมกับ peginterferon alfa ชนิด 2a หรือ 2b ในการรักษาโรคไวรัสตับอักเสบซีเรื้อรัง(genotype 2, 3) โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3",,ราคา ribavirin cap/tab (เฉพาะ 200 mg) ให้ดูหมายเหตุราคา Peginterferon  alfa-2a และ Peginterferon  alfa-2b ในรายการยาลำดับที่ 3 และ 4,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Chloroquine phosphate,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Primaquine phosphate,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Quinine,,"compressed/film coated tab (as sulfate), sterile sol (as dihydrochloride)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Artesunate,,"tab (ไม่รวม lactab และ rectocap), sterile pwdr",,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,"1.ใช้รักษามาลาเรียตามข้อกำหนดในแนวทางการบำบัดรักษาหรือการใช้ยาฉบับปัจจุบันของกรมควบคุมโรค กระทรวงสาธารณสุข
2.ห้ามใช้ในการป้องกัน",,ในกรณีใช้ยานี้ในพื้นที่ที่มีการระบาดของมาลาเรีย ให้โรงพยาบาลรัฐแจ้งสำนักควบคุมโรคนำโดยแมลง กรมควบคุมโรค,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mefloquine hydrochloride,,tab,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,เช่นเดียวกับ artesunate,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Metronidazole,,"cap/tab (as base), susp (as benzoate), sterile sol (as base)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,"ใช้สำหรับ amebiasis, giardiasis และ urogenital trichomoniasis",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Pyrimethamine,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,ใช้สำหรับโรคติดเชื้อ Toxoplasma โดยเฉพาะผู้ป่วยที่มีภูมิคุ้มกันบกพร่อง และผู้ป่วยเอดส์,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Pentamidine isetionate,Pentamidine isethionate,sterile pwdr,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Infections,Antiprotozoal drugs,I,โรคติดเชื้อและปรสิต,,ใช้สำหรับป้องกันหรือรักษาปอดอักเสบที่เกิดจาก Pneumocystis jirovecii    ที่ดื้อต่อยา co-trimoxazole หรือ trimethoprim,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Albendazole,,"tab, susp",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Diethylcarbamazine citrate,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mebendazole,,"tab, susp, susp (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Niclosamide,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Praziquantel,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Pyrantel embonate,Pyrantel pamoate,"tab, susp",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ivermectin,,tab,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Infections,Anthelmintics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Chlorhexidine gluconate,,"sol (aqueous), sol (เฉพาะ 2% ,  4% และ 5%) , sol/sol (hosp)(เฉพาะ 2% , 4% in 70% alcohol)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,ChlorhexIdine gluconate 5% เป็นชนิดเข้มข้นที่ใช้เตรียม Chlorhexidine แบบ freshly prepared,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ethyl alcohol,,"sol, sol (hosp), gel (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Gentian violet,,sol (paint),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Hydrogen peroxide,,sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Potassium permanganate,,pwdr (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Povidone-iodine,,"sol, sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Tincture of iodine,Iodine in alcohol,"sol, sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Infections,Antiseptics,I,โรคติดเชื้อและปรสิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Biphasic isophane insulin,Soluble insulin + Isophane insulin,sterile susp,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Endocrine system,Drugs used in diabetes,IV,โรคต่อมไร้ท่อ โภชนาการ และเมตาบอลิซึม,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
